id,Potencia,Radiacion,Temperatura,Temperatura panel
160,-2989.0,1036.0,38.0,47.0
161,-2973.0,1030.0,42.0,50.0
162,-2987.0,1022.0,38.0,52.0
163,-2988.0,1029.0,39.0,47.0
164,-2985.0,1023.0,39.0,50.0
165,-2970.0,1013.0,42.0,50.0
166,-2855.0,992.0,40.0,51.0
167,-2920.0,982.0,40.0,52.0
168,-2803.0,959.0,41.0,52.0
169,-2794.0,937.0,36.0,48.0
170,-2737.0,920.0,34.0,39.0
171,-2645.0,893.0,34.0,38.0
172,-2578.0,854.0,34.0,39.0
173,-2263.0,796.0,33.0,37.0
174,-1877.0,678.0,31.0,35.0
175,-1464.0,557.0,30.0,32.0
176,-1033.0,433.0,30.0,31.0
177,-651.0,314.0,29.0,30.0
178,-184.0,195.0,28.0,28.0
179,-88.0,66.0,26.0,26.0
180,-25.0,28.0,25.0,24.0
181,4.0,2.0,23.0,23.0
182,7.0,-4.0,23.0,22.0
183,7.0,-5.0,22.0,21.0
184,7.0,-6.0,22.0,21.0
185,7.0,-5.0,21.0,20.0
186,8.0,-6.0,20.0,19.0
187,8.0,-6.0,19.0,18.0
188,7.0,-5.0,18.0,17.0
189,8.0,-5.0,19.0,17.0
190,8.0,-5.0,18.0,17.0
191,8.0,-5.0,18.0,17.0
192,8.0,-5.0,18.0,17.0
193,8.0,-5.0,17.0,17.0
194,8.0,-5.0,17.0,16.0
195,8.0,-5.0,16.0,15.0
196,8.0,-5.0,16.0,15.0
197,8.0,-5.0,15.0,15.0
198,8.0,-4.0,15.0,14.0
199,8.0,-5.0,15.0,13.0
200,8.0,-4.0,14.0,13.0
201,8.0,-3.0,14.0,13.0
202,8.0,-4.0,13.0,13.0
203,8.0,-3.0,13.0,12.0
204,8.0,-2.0,13.0,12.0
205,8.0,-3.0,13.0,12.0
206,8.0,-4.0,13.0,12.0
207,8.0,-3.0,13.0,12.0
208,8.0,-3.0,13.0,12.0
209,8.0,-4.0,13.0,11.0
210,8.0,-3.0,13.0,12.0
211,8.0,-3.0,14.0,13.0
212,8.0,-3.0,14.0,13.0
213,8.0,-3.0,14.0,13.0
214,8.0,-3.0,14.0,13.0
215,8.0,-4.0,13.0,13.0
216,8.0,-3.0,13.0,12.0
217,8.0,-1.0,13.0,12.0
218,5.0,-1.0,12.0,12.0
219,-13.0,2.0,12.0,11.0
220,-64.0,19.0,12.0,11.0
221,-142.0,54.0,14.0,12.0
222,-545.0,130.0,16.0,15.0
223,-943.0,246.0,18.0,18.0
224,-1344.0,362.0,21.0,20.0
225,-1778.0,483.0,23.0,24.0
226,-2198.0,612.0,24.0,26.0
227,-2602.0,751.0,26.0,30.0
228,-2730.0,853.0,26.0,33.0
